0;0 liiki kohati pesitsusajal ruudu piires
v;v liiki kohati pesitsusajal talle pesitsemiseks sobivas biotoobis
l;l kuuldi laulvat lindu või pesitsemisega seotud hüüdu pesitsusajal
P;P kohati paari liigile pesitsemiseks sobivas biotoobis pesitsusajal
T;T kindlal territooriumil registreeriti laulu vm. territoriaalkäitumist kahel päeval vähemalt ühe nädalase vahega
M;M täheldati paarumiskäitumist või mängu
K;K vanalind külastab arvatavat pesapaika
R;R rahutu käitumine või hoiatushüüd tõenäolise pesa või poegade läheduses
H;H püütud vanalinnul on haudelaik
E;E pesa ehitamine või pesakoopa rajamine pesitsusajal
HR;HR vanalind ründab, teeskleb vigast või käitub eemalemeelitavalt
KP;KP leitud kasutatud samasuvine pesa või munakoored
LP;LP äsja lennuvõimestunud (pesahoidjate) või udusulis (pesahülgajate) pesakond või poeg
VP;VP vaatlejale ligipääsmatut asustatud pesa külastamas nähtud või pesal hauduv vanalind
VT;VT roojapalli kandev või poegadele toitu viiv vanalind
MP;MP munadega pesa
PP;PP poegadega pesa
