p;p paiksed linnud
s;s laul, mängulend, sh rähnide trummeldamine
r;r rändel olevad linnud
ü;ü ülelennul olev lind
h;h häälitsus
n;n pesaleid
rS;rS rändel lõunasse
rN;rN rändel põhja
rSW;rSW rändel edelasse
rNW;rNW rändel loodesse
rE;rE rändel itta
rSE;rSE rändel kagusse
rNE;rNE rändel kirdesse
X;X surnud lind
rp;rp rändelt saabuvad linnud, laskumas lahele, põllule, jm
ss;ss lend puhke- või ööbimispaika
sr (pr);sr (pr) rändele asuvad linnud
V;V vigastatud lind
R;R rõngastatud lind
